ID,PurchasingGroup,Description
a1b2c3d4-e5f6-4711-8001-000000000001,001,Grupo de Compras General
a1b2c3d4-e5f6-4711-8001-000000000002,002,Grupo de Compras Internacional
a1b2c3d4-e5f6-4711-8001-000000000003,003,Grupo de Compras Nacional
a1b2c3d4-e5f6-4711-8001-000000000004,004,Grupo de Compras Tecnología
a1b2c3d4-e5f6-4711-8001-000000000005,005,Grupo de Compras Servicios
a1b2c3d4-e5f6-4711-8001-000000000006,006,Grupo de Compras Proyectos
a1b2c3d4-e5f6-4711-8001-000000000007,007,Grupo de Compras Logística
a1b2c3d4-e5f6-4711-8001-000000000008,008,Grupo de Compras Insumos
a1b2c3d4-e5f6-4711-8001-000000000009,009,Grupo de Compras Mantenimiento
a1b2c3d4-e5f6-4711-8001-000000000010,010,Grupo de Compras Construcción
a1b2c3d4-e5f6-4711-8001-000000000011,011,Grupo de Compras Energía
a1b2c3d4-e5f6-4711-8001-000000000012,012,Grupo de Compras Transporte
a1b2c3d4-e5f6-4711-8001-000000000013,013,Grupo de Compras Alimentación
a1b2c3d4-e5f6-4711-8001-000000000014,014,Grupo de Compras Seguridad
a1b2c3d4-e5f6-4711-8001-000000000015,015,Grupo de Compras Salud
a1b2c3d4-e5f6-4711-8001-000000000016,016,Grupo de Compras Educación
a1b2c3d4-e5f6-4711-8001-000000000017,017,Grupo de Compras Consultoría
a1b2c3d4-e5f6-4711-8001-000000000018,018,Grupo de Compras Marketing
a1b2c3d4-e5f6-4711-8001-000000000019,019,Grupo de Compras Investigación
a1b2c3d4-e5f6-4711-8001-000000000020,020,Grupo de Compras Innovación
