code,locale,name,descr
AED,es,Dirham de los Emiratos Árabes Unidos,"Moneda oficial de los Emiratos Árabes Unidos"
AFN,es,Afgani afgano,"Moneda oficial de Afganistán"
ALL,es,Lek albanés,"Moneda oficial de Albania"
AMD,es,Dram armenio,"Moneda oficial de Armenia"
ANG,es,Florín antillano neerlandés,"Moneda oficial de Curazao y Sint Maarten"
AOA,es,Kwanza angoleño,"Moneda oficial de Angola"
ARS,es,Peso argentino,"Moneda oficial de Argentina"
AUD,es,Dólar australiano,"Moneda oficial de Australia y sus territorios"
AWG,es,Florín arubeño,"Moneda oficial de Aruba"
AZN,es,Manat azerbaiyano,"Moneda oficial de Azerbaiyán"
BAM,es,Marco convertible de Bosnia-Herzegovina,"Moneda oficial de Bosnia y Herzegovina"
BBD,es,Dólar de Barbados,"Moneda oficial de Barbados"
BDT,es,Taka de Bangladés,"Moneda oficial de Bangladés"
BGN,es,Lev búlgaro,"Moneda oficial de Bulgaria"
BHD,es,Dinar bareiní,"Moneda oficial de Baréin"
BIF,es,Franco burundés,"Moneda oficial de Burundi"
BMD,es,Dólar de Bermudas,"Moneda oficial de Bermudas"
BND,es,Dólar de Brunéi,"Moneda oficial de Brunéi"
BOB,es,Boliviano,"Moneda oficial de Bolivia"
BRL,es,Real brasileño,"Moneda oficial de Brasil"
BSD,es,Dólar bahameño,"Moneda oficial de las Bahamas"
BTN,es,Ngultrum butanés,"Moneda oficial de Bután"
BWP,es,Pula de Botsuana,"Moneda oficial de Botsuana"
BYN,es,Rublo bielorruso,"Moneda oficial de Bielorrusia"
BZD,es,Dólar de Belice,"Moneda oficial de Belice"
CAD,es,Dólar canadiense,"Moneda oficial de Canadá"
CDF,es,Franco congoleño,"Moneda oficial de la República Democrática del Congo"
CHF,es,Franco suizo,"Moneda oficial de Suiza y Liechtenstein"
CLP,es,Peso chileno,"Moneda oficial de Chile"
CNY,es,Yuan chino,"Moneda oficial de la República Popular China"
COP,es,Peso colombiano,"Moneda oficial de Colombia"
CRC,es,Colón costarricense,"Moneda oficial de Costa Rica"
CUP,es,Peso cubano,"Moneda oficial de Cuba"
CVE,es,Escudo caboverdiano,"Moneda oficial de Cabo Verde"
CZK,es,Corona checa,"Moneda oficial de la República Checa"
DJF,es,Franco yibutiano,"Moneda oficial de Yibuti"
DKK,es,Corona danesa,"Moneda oficial de Dinamarca, Groenlandia y las Islas Feroe"
DOP,es,Peso dominicano,"Moneda oficial de la República Dominicana"
DZD,es,Dinar argelino,"Moneda oficial de Argelia"
EGP,es,Libra egipcia,"Moneda oficial de Egipto"
ERN,es,Nakfa eritreo,"Moneda oficial de Eritrea"
ETB,es,Birr etíope,"Moneda oficial de Etiopía"
EUR,es,Euro,"Moneda oficial de la Eurozona"
FJD,es,Dólar fiyiano,"Moneda oficial de Fiyi"
FKP,es,Libra de las Islas Malvinas,"Moneda oficial de las Islas Malvinas"
GBP,es,Libra esterlina,"Moneda oficial del Reino Unido y sus territorios"
GEL,es,Lari georgiano,"Moneda oficial de Georgia"
GHS,es,Cedi ghanés,"Moneda oficial de Ghana"
GIP,es,Libra de Gibraltar,"Moneda oficial de Gibraltar"
GMD,es,Dalasi gambiano,"Moneda oficial de Gambia"
GNF,es,Franco guineano,"Moneda oficial de Guinea"
GTQ,es,Quetzal guatemalteco,"Moneda oficial de Guatemala"
GYD,es,Dólar guyanés,"Moneda oficial de Guyana"
HKD,es,Dólar de Hong Kong,"Moneda oficial de Hong Kong"
HNL,es,Lempira hondureño,"Moneda oficial de Honduras"
HRK,es,Kuna croata,"Moneda oficial de Croacia"
HTG,es,Gourde haitiano,"Moneda oficial de Haití"
HUF,es,Forinto húngaro,"Moneda oficial de Hungría"
IDR,es,Rupia indonesia,"Moneda oficial de Indonesia"
ILS,es,Nuevo séquel israelí,"Moneda oficial de Israel"
INR,es,Rupia india,"Moneda oficial de la India"
IQD,es,Dinar iraquí,"Moneda oficial de Irak"
IRR,es,Rial iraní,"Moneda oficial de Irán"
ISK,es,Corona islandesa,"Moneda oficial de Islandia"
