code,name,descr
aa,Afar,"Language spoken in the Horn of Africa"
ab,Abkhazian,"Caucasian language spoken in Abkhazia"
ae,Avestan,"Ancient Iranian language, liturgical language of Zoroastrianism"
af,Afrikaans,"Germanic language spoken in South Africa and Namibia"
ak,Akan,"Kwa language spoken in Ghana and Ivory Coast"
am,Amharic,"Semitic language, official language of Ethiopia"
an,Aragonese,"Romance language spoken in Aragon, Spain"
ar,Arabic,"Semitic language spoken across the Arab world"
as,Assamese,"Indo-Aryan language spoken in the state of Assam, India"
av,Avaric,"Caucasian language spoken in Dagestan, Russia"
ay,Aymara,"Language spoken by the Aymara people in the Andes"
az,Azerbaijani,"Turkic language spoken in Azerbaijan and Iran"
ba,Bashkir,"Turkic language spoken in Bashkortostan, Russia"
be,Belarusian,"East Slavic language, official language of Belarus"
bg,Bulgarian,"South Slavic language, official language of Bulgaria"
bh,Bihari,"Indo-Aryan language spoken in northern India and Nepal"
bi,Bislama,"English-based creole language, official in Vanuatu"
bm,Bambara,"Mande language spoken in Mali"
bn,Bengali,"Indo-Aryan language spoken in Bangladesh and West Bengal, India"
bo,Tibetan,"Tibeto-Burman language spoken in the Tibet region"
br,Breton,"Celtic language spoken in Brittany, France"
bs,Bosnian,"Standardized variety of Serbo-Croatian, official in Bosnia and Herzegovina"
ca,Catalan,"Romance language spoken in Catalonia, Valencian Community, Balearic Islands, and Andorra"
ce,Chechen,"Caucasian language spoken in Chechnya, Russia"
ch,Chamorro,"Malayo-Polynesian language spoken in the Mariana Islands"
co,Corsican,"Romance language spoken in Corsica, France"
cr,Cree,"Dialect continuum of Algonquian languages in Canada"
cs,Czech,"West Slavic language, official language of the Czech Republic"
cu,Old Church Slavonic,"Oldest attested Slavic language, liturgical language of the Slavic Orthodox Church"
cv,Chuvash,"Turkic language spoken in Chuvashia, Russia"
cy,Welsh,"Celtic language spoken in Wales, United Kingdom"
da,Danish,"North Germanic language, official language of Denmark"
de,German,"West Germanic language, official in Germany, Austria, Switzerland, among others"
dv,Divehi,"Indo-Aryan language, official in the Maldives"
dz,Dzongkha,"Sino-Tibetan language, official language of Bhutan"
ee,Ewe,"Kwa language spoken in Ghana and Togo"
el,Greek,"Hellenic language, official language of Greece and Cyprus"
en,English,"West Germanic language, spoken globally"
eo,Esperanto,"Most widely spoken constructed international auxiliary language"
es,Spanish,"Romance language, world's second-most spoken native language"
et,Estonian,"Uralic language, official language of Estonia"
eu,Basque,"Language isolate spoken in the Basque Country"
fa,Persian,"Indo-Iranian language spoken in Iran, Afghanistan, and Tajikistan"
ff,Fula,"West African language spoken by the Fulani people"
fi,Finnish,"Uralic language, official language of Finland"
fj,Fijian,"Austronesian language, official language of Fiji"
fo,Faroese,"North Germanic language spoken in the Faroe Islands"
fr,French,"Romance language spoken in France, Canada, Switzerland, Belgium, and other countries"
fy,Western Frisian,"Germanic language spoken in Friesland, Netherlands"
ga,Irish,"Celtic language, first official language of Ireland"
gd,Scottish Gaelic,"Celtic language spoken in Scotland, United Kingdom"
gl,Galician,"Romance language spoken in Galicia, Spain"
gn,Guarani,"Tupi-Guarani language, official in Paraguay"
gu,Gujarati,"Indo-Aryan language spoken in the state of Gujarat, India"
gv,Manx,"Celtic language spoken on the Isle of Man"
ha,Hausa,"Chadic language spoken in West Africa"
he,Hebrew,"Semitic language, official language of Israel"
hi,Hindi,"Indo-Aryan language, an official language of India"
ho,Hiri Motu,"Official language of Papua New Guinea"
hr,Croatian,"Standardized variety of Serbo-Croatian, official in Croatia"
ht,Haitian Creole,"French-based creole language, official in Haiti"
hu,Hungarian,"Uralic language, official language of Hungary"
hy,Armenian,"Indo-European language, official language of Armenia"
hz,Herero,"Bantu language spoken in Namibia and Botswana"
ia,Interlingua,"Constructed language based on Romance languages"
id,Indonesian,"Standardized form of Malay, official in Indonesia"
ie,Interlingue,"Constructed language created by Edgar de Wahl"
ig,Igbo,"Language spoken by the Igbo people in Nigeria"
ii,Sichuan Yi,"Tibeto-Burman language spoken by the Yi people in China"
ik,Inupiaq,"Group of Inuit dialects spoken in Alaska"
io,Ido,"Constructed language derived from Esperanto"
is,Icelandic,"North Germanic language, official language of Iceland"
it,Italian,"Romance language, official language of Italy, San Marino, Vatican City, and Switzerland"
