code,locale,name,descr
aa,es,Afar,"Idioma hablado en el Cuerno de África"
ab,es,Abjasio,"Idioma del Cáucaso hablado en Abjasia"
ae,es,Avéstico,"Antiguo idioma iraní, lengua litúrgica del zoroastrismo"
af,es,Afrikáans,"Idioma germánico hablado en Sudáfrica y Namibia"
ak,es,Akan,"Idioma kwa hablado en Ghana y Costa de Marfil"
am,es,Amárico,"Idioma semítico oficial de Etiopía"
an,es,Aragonés,"Lengua romance hablada en Aragón, España"
ar,es,Árabe,"Lengua semítica hablada en el mundo árabe"
as,es,Asamés,"Idioma indoario hablado en el estado de Assam, India"
av,es,Avar,"Idioma del Cáucaso hablado en Daguestán, Rusia"
ay,es,Aimara,"Idioma hablado por el pueblo aimara en los Andes"
az,es,Azerí,"Lengua túrquica hablada en Azerbaiyán e Irán"
ba,es,Baskir,"Lengua túrquica hablada en Baskortostán, Rusia"
be,es,Bielorruso,"Lengua eslava oriental, idioma oficial de Bielorrusia"
bg,es,Búlgaro,"Lengua eslava meridional, idioma oficial de Bulgaria"
bh,es,Bhojpuri,"Idioma indoario hablado en el norte de la India y Nepal"
bi,es,Bislama,"Lengua criolla basada en el inglés, oficial en Vanuatu"
bm,es,Bambara,"Lengua mandé hablada en Malí"
bn,es,Bengalí,"Idioma indoario hablado en Bangladés y Bengala Occidental, India"
bo,es,Tibetano,"Lengua tibeto-birmana hablada en la región del Tíbet"
br,es,Bretón,"Lengua celta hablada en Bretaña, Francia"
bs,es,Bosnio,"Variedad estandarizada del serbocroata, oficial en Bosnia y Herzegovina"
ca,es,Catalán,"Lengua romance hablada en Cataluña, Comunidad Valenciana, Islas Baleares y Andorra"
ce,es,Checheno,"Idioma del Cáucaso hablado en Chechenia, Rusia"
ch,es,Chamorro,"Lengua malayo-polinesia hablada en las Islas Marianas"
co,es,Corso,"Lengua romance hablada en Córcega, Francia"
cr,es,Cree,"Continuo dialectal de lenguas algonquinas en Canadá"
cs,es,Checo,"Lengua eslava occidental, idioma oficial de la República Checa"
cu,es,Eslavo eclesiástico antiguo,"Antigua lengua litúrgica de la Iglesia Ortodoxa Eslava"
cv,es,Chuvasio,"Lengua túrquica hablada en Chuvasia, Rusia"
cy,es,Galés,"Lengua celta hablada en Gales, Reino Unido"
da,es,Danés,"Lengua germánica septentrional, idioma oficial de Dinamarca"
de,es,Alemán,"Lengua germánica occidental, oficial en Alemania, Austria, Suiza, entre otros"
dv,es,Divehi,"Idioma indoario, oficial en las Maldivas"
dz,es,Dzongkha,"Lengua sino-tibetana, idioma oficial de Bután"
ee,es,Ewe,"Lengua kwa hablada en Ghana y Togo"
el,es,Griego,"Lengua helénica, idioma oficial de Grecia y Chipre"
en,es,Inglés,"Lengua germánica occidental, hablada globalmente"
eo,es,Esperanto,"Lengua artificial internacional más difundida"
es,es,Español,"Lengua romance, segundo idioma más hablado del mundo por número de nativos"
